run_id,benchmark,model,task_id,condition,replicate_id,method,observation_class,provider_backed,receipt_source,provider,observer_model,cost_quality,checkpoint_count,provider_call_count,input_tokens,output_tokens,total_tokens,cached_input_tokens,reasoning_tokens,latency_ms,cost_micro_usd,cost_usd
e12-confirmatory-bfcl-core-v3,bfcl_multi_turn,gpt-5.6-luna,multi_turn_base_40,official_native_tools,0,active_recompute,active_carry,True,carried active trajectory,openai,gpt-5.6-luna,estimated,3,3,1269,320,1589,0,281,6043,703,0.000703
e12-confirmatory-bfcl-core-v3,bfcl_multi_turn,gpt-5.6-luna,multi_turn_base_40,official_native_tools,0,frozen_probe:recompute,passive_zero_carry,True,clean shadow,openai,gpt-5.6-luna,estimated,3,3,1009,326,1335,0,287,6695,644,0.000644
e12-confirmatory-bfcl-core-v3,bfcl_multi_turn,gpt-5.6-luna,multi_turn_base_40,official_native_tools,0,frozen_probe:current_copy,passive_zero_carry,True,clean shadow,openai,gpt-5.6-luna,estimated,3,3,1009,190,1199,0,144,12688,481,0.000481
e12-confirmatory-bfcl-core-v3,bfcl_multi_turn,gpt-5.6-luna,multi_turn_base_40,official_native_tools,0,frozen_quiz,passive_zero_carry,True,clean shadow,openai,gpt-5.6-luna,estimated,3,3,1192,492,1684,0,383,7980,889,0.000889
e12-confirmatory-bfcl-core-v3,bfcl_multi_turn,gpt-5.6-luna,multi_turn_base_40,official_native_tools,0,trace_judge,passive_zero_carry,True,clean shadow,openai,gpt-5.6-sol,estimated,3,3,1921,348,2269,0,171,10823,16565,0.016565
e12-confirmatory-bfcl-core-v3,bfcl_multi_turn,gpt-5.6-luna,multi_turn_base_40,official_native_tools,0,trace_rules,passive_zero_carry,False,deterministic clean-shadow computation,,,,3,0,0,0,0,0,0,0,0,0.000000
e12-confirmatory-bfcl-core-v3,bfcl_multi_turn,gpt-5.6-luna,multi_turn_base_40,official_native_tools,0,turn_clock,passive_zero_carry,False,deterministic clean-shadow computation,,,,3,0,0,0,0,0,0,0,0,0.000000
e12-confirmatory-bfcl-core-v3,bfcl_multi_turn,gpt-5.6-luna,multi_turn_base_40,official_native_tools,0,context_use,passive_zero_carry,False,deterministic clean-shadow computation,,,,3,0,0,0,0,0,0,0,0,0.000000
e12-confirmatory-bfcl-core-v3,bfcl_multi_turn,gpt-5.6-luna,multi_turn_base_41,official_native_tools,0,active_recompute,active_carry,True,carried active trajectory,openai,gpt-5.6-luna,estimated,1,1,554,114,668,0,101,2453,276,0.000276
e12-confirmatory-bfcl-core-v3,bfcl_multi_turn,gpt-5.6-luna,multi_turn_base_41,official_native_tools,0,frozen_probe:recompute,passive_zero_carry,True,clean shadow,openai,gpt-5.6-luna,estimated,1,1,498,125,623,0,112,2894,275,0.000275
e12-confirmatory-bfcl-core-v3,bfcl_multi_turn,gpt-5.6-luna,multi_turn_base_41,official_native_tools,0,frozen_probe:current_copy,passive_zero_carry,True,clean shadow,openai,gpt-5.6-luna,estimated,1,1,496,57,553,0,44,1946,193,0.000193
e12-confirmatory-bfcl-core-v3,bfcl_multi_turn,gpt-5.6-luna,multi_turn_base_41,official_native_tools,0,frozen_quiz,passive_zero_carry,True,clean shadow,openai,gpt-5.6-luna,estimated,1,1,559,246,805,0,195,3800,435,0.000435
e12-confirmatory-bfcl-core-v3,bfcl_multi_turn,gpt-5.6-luna,multi_turn_base_41,official_native_tools,0,trace_judge,passive_zero_carry,True,clean shadow,openai,gpt-5.6-sol,estimated,1,1,1025,142,1167,0,80,4165,7965,0.007965
e12-confirmatory-bfcl-core-v3,bfcl_multi_turn,gpt-5.6-luna,multi_turn_base_41,official_native_tools,0,trace_rules,passive_zero_carry,False,deterministic clean-shadow computation,,,,1,0,0,0,0,0,0,0,0,0.000000
e12-confirmatory-bfcl-core-v3,bfcl_multi_turn,gpt-5.6-luna,multi_turn_base_41,official_native_tools,0,turn_clock,passive_zero_carry,False,deterministic clean-shadow computation,,,,1,0,0,0,0,0,0,0,0,0.000000
e12-confirmatory-bfcl-core-v3,bfcl_multi_turn,gpt-5.6-luna,multi_turn_base_41,official_native_tools,0,context_use,passive_zero_carry,False,deterministic clean-shadow computation,,,,1,0,0,0,0,0,0,0,0,0.000000
e12-confirmatory-bfcl-core-v3,bfcl_multi_turn,gpt-5.6-luna,multi_turn_base_42,official_native_tools,0,active_recompute,active_carry,True,carried active trajectory,openai,gpt-5.6-luna,estimated,2,2,578,164,742,0,138,3824,343,0.000343
e12-confirmatory-bfcl-core-v3,bfcl_multi_turn,gpt-5.6-luna,multi_turn_base_42,official_native_tools,0,frozen_probe:recompute,passive_zero_carry,True,clean shadow,openai,gpt-5.6-luna,estimated,2,2,489,212,701,0,186,4477,377,0.000377
e12-confirmatory-bfcl-core-v3,bfcl_multi_turn,gpt-5.6-luna,multi_turn_base_42,official_native_tools,0,frozen_probe:current_copy,passive_zero_carry,True,clean shadow,openai,gpt-5.6-luna,estimated,2,2,489,129,618,0,99,6121,278,0.000278
e12-confirmatory-bfcl-core-v3,bfcl_multi_turn,gpt-5.6-luna,multi_turn_base_42,official_native_tools,0,frozen_quiz,passive_zero_carry,True,clean shadow,openai,gpt-5.6-luna,estimated,2,2,612,367,979,0,304,4755,595,0.000595
e12-confirmatory-bfcl-core-v3,bfcl_multi_turn,gpt-5.6-luna,multi_turn_base_42,official_native_tools,0,trace_judge,passive_zero_carry,True,clean shadow,openai,gpt-5.6-sol,estimated,2,2,965,219,1184,0,79,6331,9205,0.009205
e12-confirmatory-bfcl-core-v3,bfcl_multi_turn,gpt-5.6-luna,multi_turn_base_42,official_native_tools,0,trace_rules,passive_zero_carry,False,deterministic clean-shadow computation,,,,2,0,0,0,0,0,0,0,0,0.000000
e12-confirmatory-bfcl-core-v3,bfcl_multi_turn,gpt-5.6-luna,multi_turn_base_42,official_native_tools,0,turn_clock,passive_zero_carry,False,deterministic clean-shadow computation,,,,2,0,0,0,0,0,0,0,0,0.000000
e12-confirmatory-bfcl-core-v3,bfcl_multi_turn,gpt-5.6-luna,multi_turn_base_42,official_native_tools,0,context_use,passive_zero_carry,False,deterministic clean-shadow computation,,,,2,0,0,0,0,0,0,0,0,0.000000
e12-confirmatory-bfcl-core-v3,bfcl_multi_turn,gpt-5.6-luna,multi_turn_base_43,official_native_tools,0,active_recompute,active_carry,True,carried active trajectory,openai,gpt-5.6-luna,estimated,3,3,1456,286,1742,0,247,5972,709,0.000709
e12-confirmatory-bfcl-core-v3,bfcl_multi_turn,gpt-5.6-luna,multi_turn_base_43,official_native_tools,0,frozen_probe:recompute,passive_zero_carry,True,clean shadow,openai,gpt-5.6-luna,estimated,3,3,889,288,1177,0,249,5973,570,0.000570
e12-confirmatory-bfcl-core-v3,bfcl_multi_turn,gpt-5.6-luna,multi_turn_base_43,official_native_tools,0,frozen_probe:current_copy,passive_zero_carry,True,clean shadow,openai,gpt-5.6-luna,estimated,3,3,887,181,1068,0,136,4437,441,0.000441
e12-confirmatory-bfcl-core-v3,bfcl_multi_turn,gpt-5.6-luna,multi_turn_base_43,official_native_tools,0,frozen_quiz,passive_zero_carry,True,clean shadow,openai,gpt-5.6-luna,estimated,3,3,1072,446,1518,0,345,8518,805,0.000805
